hospital_name,district,city,speciality,hospital_rating,success_rate,service_readiness_pct,ranking_score,speciality_rank,overall_rank,no_of_patients_treated
Guru Nanak Medical Centre - Ludhiana,Ludhiana,Moga,Pediatrics,4.7,70.4,25.0,86.92,70,1074,67001
Lifeline Hospital - Nawanshahr,Nawanshahr,Patiala,Pediatrics,4.7,70.4,31.25,86.92,71,1075,67138
Sewa Hospital - Muktsar,Muktsar,Malerkotla,Urology,4.6,75.0,50.0,86.9,91,1076,67275
Maharaja Ranjit Singh Medical Centre - Jalandhar,Jalandhar,Barnala,Cardiology,4.7,70.3,31.25,86.89,77,1077,67412
Shaheed Bhagat Singh Healthcare - Fatehgarh Sahib,Fatehgarh Sahib,Barnala,Cardiology,4.7,70.3,25.0,86.89,76,1078,67549
Lifeline Medical Centre - Ferozepur,Ferozepur,Abohar,Dermatology,4.7,70.3,31.25,86.89,73,1079,67686
Apex Multispeciality Hospital - Fazilka,Fazilka,Phagwara,ENT,4.7,70.3,25.0,86.89,79,1080,67823
Prime Care Healthcare - Moga,Moga,Moga,General Medicine,4.7,70.3,31.25,86.89,73,1081,67960
Fortune Hospital - Ludhiana,Ludhiana,Mohali,General Surgery,4.7,70.3,31.25,86.89,61,1082,68097
Prime Care Healthcare - Muktsar,Muktsar,Muktsar,Gynecology,4.7,70.3,31.25,86.89,67,1083,68234
Shaheed Bhagat Singh Hospital - Malerkotla,Malerkotla,Kapurthala,Nephrology,4.7,70.3,31.25,86.89,68,1084,68371
Shaheed Bhagat Singh Multispeciality Hospital - Ferozepur,Ferozepur,Pathankot,Neurology,4.7,70.3,25.0,86.89,77,1085,68508
Guru Nanak Hospital - Pathankot,Pathankot,Amritsar,Oncology,4.7,70.3,31.25,86.89,62,1086,68645
Shaheed Bhagat Singh Healthcare - Malerkotla,Malerkotla,Malerkotla,Orthopedics,4.7,70.3,31.25,86.89,64,1087,68782
Healing Touch Hospital - Fazilka,Fazilka,Khanna,Gastroenterology,4.6,74.9,37.5,86.87,95,1088,68919
Fortune Hospital - Mansa,Mansa,Barnala,General Medicine,4.6,74.9,31.25,86.87,85,1089,69056
Maharaja Ranjit Singh Healthcare - Jalandhar,Jalandhar,Gurdaspur,Neurology,4.6,74.9,43.75,86.87,86,1090,69193
Mata Kaushalya Healthcare - Ferozepur,Ferozepur,Khanna,Urology,4.6,74.9,37.5,86.87,92,1091,69330
Fortune Multispeciality Hospital - Muktsar,Muktsar,Patiala,Cardiology,4.7,70.2,31.25,86.86,79,1092,69467
Lifeline Multispeciality Hospital - Fazilka,Fazilka,Barnala,Cardiology,4.7,70.2,25.0,86.86,78,1093,69604
Maharaja Ranjit Singh Multispeciality Hospital - Jalandhar,Jalandhar,Patiala,Dermatology,4.7,70.2,31.25,86.86,74,1094,69741
Shaheed Bhagat Singh Multispeciality Hospital - Kapurthala,Kapurthala,Kapurthala,Nephrology,4.7,70.2,25.0,86.86,69,1095,69878
Medicare Medical Centre - Amritsar,Amritsar,Pathankot,Pulmonology,4.7,70.2,25.0,86.86,69,1096,70015
Healing Touch Healthcare - SAS Nagar,SAS Nagar,Jalandhar,Urology,4.7,70.2,25.0,86.86,82,1097,70152
Guru Nanak Multispeciality Hospital - Ludhiana,Ludhiana,Mohali,Oncology,4.6,74.8,37.5,86.84,70,1098,70289
Guru Nanak Multispeciality Hospital - Muktsar,Muktsar,Firozpur,Pulmonology,4.6,74.8,37.5,86.84,82,1099,70426
City Care Multispeciality Hospital - Pathankot,Pathankot,Mohali,ENT,4.7,70.1,25.0,86.83,80,1100,70563
Medicare Medical Centre - Mansa,Mansa,Kapurthala,Gastroenterology,4.7,70.1,31.25,86.83,84,1101,70700
Maharaja Ranjit Singh Hospital - Hoshiarpur,Hoshiarpur,Rajpura,General Surgery,4.7,70.1,31.25,86.83,63,1102,70837
Shaheed Bhagat Singh Healthcare - Fatehgarh Sahib,Fatehgarh Sahib,Khanna,General Surgery,4.7,70.1,31.25,86.83,62,1103,70974
Fortune Hospital - Pathankot,Pathankot,Mohali,Nephrology,4.7,70.1,31.25,86.83,70,1104,71111
Fortune Hospital - Jalandhar,Jalandhar,Phagwara,Orthopedics,4.7,70.1,31.25,86.83,65,1105,71248
Healing Touch Hospital - Barnala,Barnala,Rajpura,Pulmonology,4.7,70.1,31.25,86.83,70,1106,71385
Maharaja Ranjit Singh Medical Centre - Gurdaspur,Gurdaspur,Rajpura,Urology,4.7,70.1,25.0,86.83,83,1107,71522
Apex Healthcare - Gurdaspur,Gurdaspur,Hoshiarpur,Gastroenterology,4.6,74.7,37.5,86.81,96,1108,71659
Prime Care Hospital - Nawanshahr,Nawanshahr,Rajpura,General Surgery,4.6,74.7,31.25,86.81,73,1109,71796
Lifeline Medical Centre - Ludhiana,Ludhiana,Patiala,Neurology,4.6,74.7,31.25,86.81,87,1110,71933
Shivalik Medical Centre - Muktsar,Muktsar,Moga,ENT,4.7,70.0,25.0,86.8,81,1111,72070
Prime Care Healthcare - Sangrur,Sangrur,Phagwara,Ophthalmology,4.7,70.0,18.75,86.8,56,1112,72207
Punjab Multispeciality Hospital - Faridkot,Faridkot,Khanna,Pulmonology,4.7,70.0,31.25,86.8,71,1113,72344
Prime Care Hospital - Fatehgarh Sahib,Fatehgarh Sahib,Moga,Gastroenterology,4.6,74.6,37.5,86.78,97,1114,72481
Apex Medical Centre - Muktsar,Muktsar,Rajpura,Pulmonology,4.6,74.6,37.5,86.78,83,1115,72618
Fortune Healthcare - Fazilka,Fazilka,Jalandhar,ENT,4.7,69.9,25.0,86.77,82,1116,72755
Healing Touch Medical Centre - Gurdaspur,Gurdaspur,Malerkotla,ENT,4.7,69.9,31.25,86.77,83,1117,72892
Guru Nanak Healthcare - Fazilka,Fazilka,Kapurthala,General Medicine,4.7,69.9,25.0,86.77,74,1118,73029
Sunrise Hospital - Moga,Moga,Jalandhar,Nephrology,4.7,69.9,31.25,86.77,71,1119,73166
Mata Kaushalya Hospital - Amritsar,Amritsar,Gurdaspur,Pulmonology,4.7,69.9,18.75,86.77,72,1120,73303
Healing Touch Multispeciality Hospital - Gurdaspur,Gurdaspur,Amritsar,General Medicine,4.6,74.5,31.25,86.75,87,1121,73440
Mata Kaushalya Medical Centre - Patiala,Patiala,Ludhiana,General Medicine,4.6,74.5,37.5,86.75,88,1122,73577
Sunrise Hospital - Ludhiana,Ludhiana,Patiala,General Medicine,4.6,74.5,43.75,86.75,86,1123,73714
Mata Kaushalya Medical Centre - Fatehgarh Sahib,Fatehgarh Sahib,Khanna,General Medicine,4.7,69.8,25.0,86.74,75,1124,73851
Shivalik Healthcare - Amritsar,Amritsar,Patiala,General Medicine,4.7,69.8,25.0,86.74,76,1125,73988
Mata Kaushalya Healthcare - Ferozepur,Ferozepur,Mohali,General Surgery,4.7,69.8,31.25,86.74,64,1126,74125
Sewa Medical Centre - Mansa,Mansa,Amritsar,Nephrology,4.7,69.8,31.25,86.74,72,1127,74262
City Care Medical Centre - Patiala,Patiala,Hoshiarpur,Orthopedics,4.7,69.8,25.0,86.74,66,1128,74399
Guru Nanak Healthcare - Patiala,Patiala,Khanna,Orthopedics,4.7,69.8,31.25,86.74,68,1129,74536
Lifeline Healthcare - Sangrur,Sangrur,Sangrur,Orthopedics,4.7,69.8,31.25,86.74,67,1130,74673
Sunrise Medical Centre - Barnala,Barnala,Malerkotla,Orthopedics,4.7,69.8,31.25,86.74,69,1131,74810
Shivalik Medical Centre - Fatehgarh Sahib,Fatehgarh Sahib,Bathinda,Urology,4.7,69.8,18.75,86.74,84,1132,74947
Fortune Hospital - Hoshiarpur,Hoshiarpur,Barnala,Dermatology,4.6,74.4,31.25,86.72,87,1133,75084
Punjab Hospital - Moga,Moga,Bathinda,Dermatology,4.6,74.4,37.5,86.72,86,1134,75221
Lifeline Multispeciality Hospital - Kapurthala,Kapurthala,Khanna,Dermatology,4.7,69.7,31.25,86.71,75,1135,75358
Fortune Medical Centre - SAS Nagar,SAS Nagar,Nawanshahr,Gastroenterology,4.7,69.7,31.25,86.71,85,1136,75495
Healing Touch Medical Centre - Nawanshahr,Nawanshahr,Ludhiana,Ophthalmology,4.7,69.7,18.75,86.71,57,1137,75632
Maharaja Ranjit Singh Healthcare - Barnala,Barnala,Abohar,Pulmonology,4.7,69.7,31.25,86.71,73,1138,75769
Lifeline Medical Centre - Tarn Taran,Tarn Taran,Rupnagar,Cardiology,4.6,74.3,43.75,86.69,88,1139,75906
Shivalik Hospital - Hoshiarpur,Hoshiarpur,Khanna,General Medicine,4.6,74.3,43.75,86.69,89,1140,76043
Apex Medical Centre - Sangrur,Sangrur,Sangrur,Neurology,4.6,74.3,37.5,86.69,88,1141,76180
Sewa Medical Centre - Kapurthala,Kapurthala,Mansa,Urology,4.6,74.3,37.5,86.69,93,1142,76317
Shaheed Bhagat Singh Medical Centre - Hoshiarpur,Hoshiarpur,Sangrur,General Medicine,4.7,69.6,25.0,86.68,77,1143,76454
Healing Touch Hospital - Barnala,Barnala,Barnala,General Surgery,4.7,69.6,25.0,86.68,65,1144,76591
Fortune Medical Centre - Gurdaspur,Gurdaspur,Phagwara,Gynecology,4.7,69.6,31.25,86.68,68,1145,76728
Apex Hospital - Bathinda,Bathinda,Mohali,Neurology,4.7,69.6,31.25,86.68,78,1146,76865
Apex Multispeciality Hospital - Faridkot,Faridkot,Moga,Oncology,4.7,69.6,25.0,86.68,63,1147,77002
Apex Multispeciality Hospital - SAS Nagar,SAS Nagar,Barnala,Gastroenterology,4.6,74.2,50.0,86.66,98,1148,77139
Prime Care Healthcare - Rupnagar,Rupnagar,Rupnagar,Gynecology,4.6,74.2,43.75,86.66,82,1149,77276
Shaheed Bhagat Singh Multispeciality Hospital - Kapurthala,Kapurthala,Patiala,Nephrology,4.6,74.2,31.25,86.66,83,1150,77413
Punjab Hospital - Muktsar,Muktsar,Pathankot,Oncology,4.6,74.2,31.25,86.66,71,1151,77550
Fortune Hospital - Gurdaspur,Gurdaspur,Rajpura,Dermatology,4.7,69.5,25.0,86.65,76,1152,77687
Fortune Multispeciality Hospital - Hoshiarpur,Hoshiarpur,Bathinda,ENT,4.7,69.5,31.25,86.65,84,1153,77824
Apex Medical Centre - Malerkotla,Malerkotla,Amritsar,Gastroenterology,4.7,69.5,18.75,86.65,86,1154,77961
Guru Nanak Medical Centre - SAS Nagar,SAS Nagar,Firozpur,General Medicine,4.7,69.5,18.75,86.65,78,1155,78098
Lifeline Hospital - Sangrur,Sangrur,Gurdaspur,Neurology,4.7,69.5,31.25,86.65,79,1156,78235
Sewa Hospital - Muktsar,Muktsar,Barnala,Pulmonology,4.7,69.5,25.0,86.65,74,1157,78372
Punjab Multispeciality Hospital - Moga,Moga,Jalandhar,Urology,4.7,69.5,31.25,86.65,85,1158,78509
Medicare Medical Centre - Mansa,Mansa,Muktsar,Gastroenterology,4.6,74.1,37.5,86.63,99,1159,78646
Medicare Multispeciality Hospital - Faridkot,Faridkot,Jalandhar,General Surgery,4.6,74.1,37.5,86.63,74,1160,78783
City Care Hospital - Rupnagar,Rupnagar,Ludhiana,Orthopedics,4.6,74.1,31.25,86.63,75,1161,78920
Guru Nanak Multispeciality Hospital - Muktsar,Muktsar,Sangrur,Cardiology,4.7,69.4,31.25,86.62,80,1162,79057
Punjab Multispeciality Hospital - Bathinda,Bathinda,Khanna,Gastroenterology,4.7,69.4,31.25,86.62,87,1163,79194
Shivalik Hospital - Bathinda,Bathinda,Rajpura,Nephrology,4.7,69.4,25.0,86.62,73,1164,79331
Fortune Hospital - Patiala,Patiala,Khanna,Neurology,4.7,69.4,25.0,86.62,80,1165,79468
City Care Medical Centre - Hoshiarpur,Hoshiarpur,Pathankot,Cardiology,4.6,74.0,37.5,86.6,89,1166,79605
Shaheed Bhagat Singh Multispeciality Hospital - Moga,Moga,Khanna,Dermatology,4.6,74.0,43.75,86.6,88,1167,79742
Shivalik Medical Centre - Fazilka,Fazilka,Jalandhar,General Surgery,4.6,74.0,37.5,86.6,75,1168,79879
City Care Multispeciality Hospital - Faridkot,Faridkot,Rajpura,ENT,4.7,69.3,18.75,86.59,85,1169,80016
Punjab Multispeciality Hospital - Faridkot,Faridkot,Ludhiana,Urology,4.7,69.3,25.0,86.59,86,1170,80153
Guru Nanak Hospital - Kapurthala,Kapurthala,Phagwara,Cardiology,4.6,73.9,31.25,86.57,90,1171,80290
Prime Care Hospital - Malerkotla,Malerkotla,Rajpura,Gynecology,4.6,73.9,37.5,86.57,83,1172,80427
Guru Nanak Hospital - Patiala,Patiala,Kapurthala,Oncology,4.6,73.9,37.5,86.57,72,1173,80564
Medicare Multispeciality Hospital - SAS Nagar,SAS Nagar,Bathinda,Pediatrics,4.6,73.9,43.75,86.57,79,1174,80701
Healing Touch Multispeciality Hospital - Fatehgarh Sahib,Fatehgarh Sahib,Barnala,Pulmonology,4.6,73.9,37.5,86.57,84,1175,80838
Shaheed Bhagat Singh Hospital - Moga,Moga,Jalandhar,Nephrology,4.7,69.2,18.75,86.56,74,1176,80975
Maharaja Ranjit Singh Hospital - Bathinda,Bathinda,Abohar,Urology,4.7,69.2,18.75,86.56,87,1177,81112
Shivalik Multispeciality Hospital - Malerkotla,Malerkotla,Sangrur,Gastroenterology,4.6,73.8,37.5,86.54,100,1178,81249
Shaheed Bhagat Singh Healthcare - Bathinda,Bathinda,Malerkotla,General Surgery,4.6,73.8,43.75,86.54,76,1179,81386
Sewa Multispeciality Hospital - Jalandhar,Jalandhar,Phagwara,Gynecology,4.6,73.8,43.75,86.54,84,1180,81523
Shivalik Hospital - Kapurthala,Kapurthala,Rupnagar,Dermatology,4.7,69.1,25.0,86.53,77,1181,81660
Lifeline Healthcare - Ludhiana,Ludhiana,Hoshiarpur,Gynecology,4.7,69.1,18.75,86.53,69,1182,81797
Lifeline Hospital - Kapurthala,Kapurthala,Phagwara,Oncology,4.7,69.1,25.0,86.53,64,1183,81934
Apex Hospital - Tarn Taran,Tarn Taran,Khanna,Orthopedics,4.7,69.1,25.0,86.53,70,1184,82071
Apex Hospital - Patiala,Patiala,Ludhiana,Cardiology,4.6,73.7,43.75,86.51,91,1185,82208
Lifeline Medical Centre - Jalandhar,Jalandhar,Barnala,Orthopedics,4.6,73.7,37.5,86.51,76,1186,82345
Guru Nanak Hospital - Sangrur,Sangrur,Mansa,Gynecology,4.7,69.0,25.0,86.5,70,1187,82482
Punjab Hospital - Pathankot,Pathankot,Phagwara,Nephrology,4.7,69.0,18.75,86.5,75,1188,82619
City Care Hospital - Hoshiarpur,Hoshiarpur,Patiala,Pediatrics,4.7,69.0,25.0,86.5,72,1189,82756
City Care Multispeciality Hospital - Fazilka,Fazilka,Kapurthala,Pulmonology,4.7,69.0,25.0,86.5,75,1190,82893
Apex Multispeciality Hospital - Sangrur,Sangrur,Barnala,Nephrology,4.6,73.6,43.75,86.48,84,1191,83030
Punjab Healthcare - Faridkot,Faridkot,Gurdaspur,Neurology,4.6,73.6,37.5,86.48,89,1192,83167
Shivalik Hospital - Sangrur,Sangrur,Pathankot,Oncology,4.6,73.6,50.0,86.48,73,1193,83304
Medicare Medical Centre - Rupnagar,Rupnagar,Muktsar,Ophthalmology,4.6,73.6,37.5,86.48,66,1194,83441
Shaheed Bhagat Singh Medical Centre - Fatehgarh Sahib,Fatehgarh Sahib,Bathinda,General Surgery,4.7,68.9,18.75,86.47,66,1195,83578
Medicare Medical Centre - Bathinda,Bathinda,Muktsar,Gynecology,4.7,68.9,25.0,86.47,71,1196,83715
Prime Care Healthcare - Muktsar,Muktsar,Jalandhar,Nephrology,4.7,68.9,18.75,86.47,76,1197,83852
Sewa Healthcare - Rupnagar,Rupnagar,Patiala,Nephrology,4.7,68.9,12.5,86.47,77,1198,83989
Shaheed Bhagat Singh Medical Centre - SAS Nagar,SAS Nagar,Barnala,Gynecology,4.6,73.5,37.5,86.45,85,1199,84126
Maharaja Ranjit Singh Medical Centre - Fazilka,Fazilka,Rajpura,Nephrology,4.6,73.5,37.5,86.45,85,1200,84263
Sunrise Medical Centre - Jalandhar,Jalandhar,Gurdaspur,Ophthalmology,4.6,73.5,37.5,86.45,67,1201,84400
Shaheed Bhagat Singh Multispeciality Hospital - Tarn Taran,Tarn Taran,Mohali,Pediatrics,4.6,73.5,31.25,86.45,80,1202,84537
Prime Care Hospital - Ludhiana,Ludhiana,Hoshiarpur,Pulmonology,4.6,73.5,43.75,86.45,85,1203,84674
Punjab Medical Centre - Kapurthala,Kapurthala,Bathinda,Urology,4.6,73.5,37.5,86.45,94,1204,84811
Shivalik Hospital - Jalandhar,Jalandhar,Amritsar,Cardiology,4.7,68.8,25.0,86.44,81,1205,84948
Prime Care Multispeciality Hospital - Patiala,Patiala,Abohar,Dermatology,4.7,68.8,25.0,86.44,78,1206,85085
Lifeline Multispeciality Hospital - Amritsar,Amritsar,Kapurthala,Oncology,4.7,68.8,18.75,86.44,65,1207,85222
Guru Nanak Healthcare - Barnala,Barnala,Rajpura,Ophthalmology,4.7,68.8,25.0,86.44,58,1208,85359
Lifeline Hospital - Sangrur,Sangrur,Phagwara,Pediatrics,4.7,68.8,25.0,86.44,73,1209,85496
Shaheed Bhagat Singh Healthcare - Sangrur,Sangrur,Mansa,Pulmonology,4.7,68.8,12.5,86.44,76,1210,85633
Sunrise Hospital - Gurdaspur,Gurdaspur,Rajpura,Gynecology,4.5,78.1,43.75,86.43,120,1211,85770
Lifeline Medical Centre - Moga,Moga,Abohar,Gastroenterology,4.6,73.4,43.75,86.42,101,1212,85907
City Care Medical Centre - Jalandhar,Jalandhar,Mansa,General Medicine,4.6,73.4,25.0,86.42,90,1213,86044
Mata Kaushalya Medical Centre - Gurdaspur,Gurdaspur,Pathankot,General Medicine,4.6,73.4,43.75,86.42,91,1214,86181
Prime Care Medical Centre - Sangrur,Sangrur,Khanna,Neurology,4.6,73.4,37.5,86.42,90,1215,86318
Shivalik Hospital - Ludhiana,Ludhiana,Hoshiarpur,Urology,4.6,73.4,31.25,86.42,95,1216,86455
Healing Touch Multispeciality Hospital - Ferozepur,Ferozepur,Kapurthala,Cardiology,4.7,68.7,25.0,86.41,82,1217,86592
Punjab Hospital - Mansa,Mansa,Firozpur,Nephrology,4.7,68.7,18.75,86.41,78,1218,86729
Lifeline Medical Centre - Hoshiarpur,Hoshiarpur,Abohar,Pulmonology,4.7,68.7,18.75,86.41,77,1219,86866
Guru Nanak Multispeciality Hospital - Tarn Taran,Tarn Taran,Barnala,Nephrology,4.6,73.3,31.25,86.39,86,1220,87003
Punjab Medical Centre - Barnala,Barnala,Abohar,Pediatrics,4.7,68.6,18.75,86.38,74,1221,87140
City Care Healthcare - Gurdaspur,Gurdaspur,Hoshiarpur,Cardiology,4.6,73.2,43.75,86.36,92,1222,87277
Prime Care Healthcare - Nawanshahr,Nawanshahr,Hoshiarpur,ENT,4.6,73.2,37.5,86.36,90,1223,87414
Medicare Hospital - Hoshiarpur,Hoshiarpur,Rajpura,Neurology,4.6,73.2,31.25,86.36,91,1224,87551
Apex Multispeciality Hospital - Gurdaspur,Gurdaspur,Muktsar,Ophthalmology,4.6,73.2,37.5,86.36,68,1225,87688
Prime Care Medical Centre - Ludhiana,Ludhiana,Muktsar,Dermatology,4.7,68.5,12.5,86.35,79,1226,87825
Maharaja Ranjit Singh Multispeciality Hospital - Pathankot,Pathankot,Khanna,Nephrology,4.7,68.5,18.75,86.35,79,1227,87962
Maharaja Ranjit Singh Healthcare - Mansa,Mansa,Muktsar,Pediatrics,4.7,68.5,25.0,86.35,75,1228,88099
Guru Nanak Medical Centre - Muktsar,Muktsar,Muktsar,Dermatology,4.6,73.1,37.5,86.33,89,1229,88236
Medicare Multispeciality Hospital - SAS Nagar,SAS Nagar,Firozpur,General Medicine,4.6,73.1,31.25,86.33,92,1230,88373
Shivalik Multispeciality Hospital - SAS Nagar,SAS Nagar,Amritsar,Oncology,4.6,73.1,25.0,86.33,74,1231,88510
Medicare Healthcare - Faridkot,Faridkot,Jalandhar,Pediatrics,4.6,73.1,37.5,86.33,81,1232,88647
Shivalik Medical Centre - Bathinda,Bathinda,Nawanshahr,Pediatrics,4.6,73.1,43.75,86.33,82,1233,88784
Lifeline Multispeciality Hospital - Ferozepur,Ferozepur,Kapurthala,Ophthalmology,4.7,68.4,18.75,86.32,59,1234,88921
Sunrise Hospital - Fazilka,Fazilka,Abohar,ENT,4.6,73.0,37.5,86.3,91,1235,89058
Prime Care Healthcare - Jalandhar,Jalandhar,Malerkotla,General Medicine,4.6,73.0,43.75,86.3,93,1236,89195
Healing Touch Medical Centre - SAS Nagar,SAS Nagar,Khanna,Neurology,4.6,73.0,37.5,86.3,92,1237,89332
Shivalik Medical Centre - Ferozepur,Ferozepur,Amritsar,Oncology,4.6,73.0,37.5,86.3,75,1238,89469
Mata Kaushalya Multispeciality Hospital - Sangrur,Sangrur,Malerkotla,Ophthalmology,4.6,73.0,31.25,86.3,69,1239,89606
Shaheed Bhagat Singh Healthcare - Ferozepur,Ferozepur,Kapurthala,Orthopedics,4.6,73.0,31.25,86.3,77,1240,89743
Apex Medical Centre - Sangrur,Sangrur,Sangrur,ENT,4.7,68.3,25.0,86.29,86,1241,89880
Prime Care Healthcare - Faridkot,Faridkot,Kapurthala,Gynecology,4.7,68.3,18.75,86.29,72,1242,90017
Guru Nanak Healthcare - Gurdaspur,Gurdaspur,Ludhiana,Neurology,4.7,68.3,18.75,86.29,81,1243,90154
Sunrise Medical Centre - Nawanshahr,Nawanshahr,Abohar,Ophthalmology,4.7,68.3,18.75,86.29,60,1244,90291
Prime Care Multispeciality Hospital - Tarn Taran,Tarn Taran,Firozpur,ENT,4.6,72.9,31.25,86.27,92,1245,90428
Shaheed Bhagat Singh Multispeciality Hospital - SAS Nagar,SAS Nagar,Patiala,General Medicine,4.6,72.9,31.25,86.27,94,1246,90565
Lifeline Multispeciality Hospital - Muktsar,Muktsar,Mansa,Oncology,4.6,72.9,37.5,86.27,76,1247,90702
Shivalik Multispeciality Hospital - SAS Nagar,SAS Nagar,Amritsar,Dermatology,4.7,68.2,18.75,86.26,80,1248,90839
Lifeline Hospital - Amritsar,Amritsar,Pathankot,Gastroenterology,4.7,68.2,25.0,86.26,88,1249,90976
Mata Kaushalya Healthcare - Mansa,Mansa,Amritsar,Gynecology,4.7,68.2,18.75,86.26,73,1250,91113
Guru Nanak Medical Centre - Amritsar,Amritsar,Rupnagar,Gastroenterology,4.6,72.8,31.25,86.24,103,1251,91250
Shivalik Healthcare - Fazilka,Fazilka,Kapurthala,Gastroenterology,4.6,72.8,37.5,86.24,102,1252,91387
Sewa Multispeciality Hospital - Moga,Moga,Firozpur,Pediatrics,4.6,72.8,37.5,86.24,83,1253,91524
Shivalik Multispeciality Hospital - Nawanshahr,Nawanshahr,Kapurthala,Dermatology,4.7,68.1,18.75,86.23,81,1254,91661
Prime Care Medical Centre - Patiala,Patiala,Mohali,General Medicine,4.7,68.1,25.0,86.23,79,1255,91798
Healing Touch Multispeciality Hospital - Malerkotla,Malerkotla,Mohali,General Surgery,4.7,68.1,18.75,86.23,67,1256,91935
Maharaja Ranjit Singh Multispeciality Hospital - Patiala,Patiala,Malerkotla,Gynecology,4.7,68.1,18.75,86.23,74,1257,92072
Sewa Multispeciality Hospital - Pathankot,Pathankot,Mohali,Neurology,4.7,68.1,25.0,86.23,82,1258,92209
Guru Nanak Healthcare - Fatehgarh Sahib,Fatehgarh Sahib,Rajpura,Orthopedics,4.7,68.1,18.75,86.23,71,1259,92346
Shaheed Bhagat Singh Hospital - Mansa,Mansa,Phagwara,Orthopedics,4.7,68.1,18.75,86.23,72,1260,92483
Healing Touch Healthcare - Tarn Taran,Tarn Taran,Rupnagar,Pulmonology,4.7,68.1,25.0,86.23,78,1261,92620
Apex Healthcare - Hoshiarpur,Hoshiarpur,Sangrur,Gastroenterology,4.6,72.7,31.25,86.21,104,1262,92757
Maharaja Ranjit Singh Healthcare - Bathinda,Bathinda,Gurdaspur,Neurology,4.6,72.7,37.5,86.21,93,1263,92894
Prime Care Medical Centre - Rupnagar,Rupnagar,Barnala,Oncology,4.6,72.7,37.5,86.21,77,1264,93031
Sewa Medical Centre - Malerkotla,Malerkotla,Moga,Ophthalmology,4.6,72.7,37.5,86.21,70,1265,93168
Medicare Medical Centre - Kapurthala,Kapurthala,Abohar,ENT,4.7,68.0,25.0,86.2,87,1266,93305
Punjab Multispeciality Hospital - Barnala,Barnala,Nawanshahr,Gynecology,4.7,68.0,18.75,86.2,75,1267,93442
Sewa Healthcare - Moga,Moga,Rajpura,Ophthalmology,4.7,68.0,25.0,86.2,61,1268,93579
Apex Healthcare - Rupnagar,Rupnagar,Hoshiarpur,Cardiology,4.6,72.6,37.5,86.18,93,1269,93716
Punjab Medical Centre - Moga,Moga,Abohar,General Surgery,4.6,72.6,43.75,86.18,77,1270,93853
City Care Healthcare - Kapurthala,Kapurthala,Jalandhar,Neurology,4.6,72.6,37.5,86.18,94,1271,93990
Medicare Multispeciality Hospital - Gurdaspur,Gurdaspur,Phagwara,Ophthalmology,4.6,72.6,31.25,86.18,71,1272,94127
Maharaja Ranjit Singh Medical Centre - Gurdaspur,Gurdaspur,Ludhiana,Pediatrics,4.6,72.6,31.25,86.18,84,1273,94264
Mata Kaushalya Hospital - Faridkot,Faridkot,Nawanshahr,Pediatrics,4.6,72.6,25.0,86.18,85,1274,94401
Medicare Hospital - Fatehgarh Sahib,Fatehgarh Sahib,Moga,Dermatology,4.7,67.9,18.75,86.17,82,1275,94538
Sunrise Multispeciality Hospital - Ludhiana,Ludhiana,Ludhiana,ENT,4.7,67.9,25.0,86.17,88,1276,94675
Guru Nanak Healthcare - Kapurthala,Kapurthala,Ludhiana,General Medicine,4.7,67.9,25.0,86.17,80,1277,94812
Sunrise Hospital - Rupnagar,Rupnagar,Nawanshahr,Cardiology,4.6,72.5,37.5,86.15,94,1278,94949
Lifeline Hospital - Muktsar,Muktsar,Abohar,General Surgery,4.6,72.5,43.75,86.15,78,1279,95086
Sewa Multispeciality Hospital - Rupnagar,Rupnagar,Gurdaspur,Gynecology,4.6,72.5,43.75,86.15,86,1280,95223
City Care Hospital - Sangrur,Sangrur,Amritsar,Cardiology,4.7,67.8,25.0,86.14,83,1281,95360
Guru Nanak Healthcare - Bathinda,Bathinda,Moga,Gastroenterology,4.7,67.8,25.0,86.14,89,1282,95497
Shivalik Hospital - Ferozepur,Ferozepur,Hoshiarpur,Gastroenterology,4.7,67.8,18.75,86.14,90,1283,95634
Prime Care Healthcare - Bathinda,Bathinda,Amritsar,Orthopedics,4.7,67.8,18.75,86.14,73,1284,95771
Mata Kaushalya Medical Centre - Fatehgarh Sahib,Fatehgarh Sahib,Malerkotla,Pulmonology,4.7,67.8,18.75,86.14,79,1285,95908
Sewa Healthcare - Bathinda,Bathinda,Bathinda,Gastroenterology,4.5,77.1,43.75,86.13,122,1286,96045
Medicare Multispeciality Hospital - Gurdaspur,Gurdaspur,Nawanshahr,Urology,4.6,72.4,37.5,86.12,96,1287,96182
Shaheed Bhagat Singh Healthcare - Fatehgarh Sahib,Fatehgarh Sahib,Moga,General Medicine,4.7,67.7,18.75,86.11,81,1288,96319
Shivalik Healthcare - Fazilka,Fazilka,Amritsar,Urology,4.7,67.7,18.75,86.11,88,1289,96456
Guru Nanak Multispeciality Hospital - Mansa,Mansa,Kapurthala,Cardiology,4.6,72.3,37.5,86.09,96,1290,96593
Medicare Hospital - Fazilka,Fazilka,Pathankot,Cardiology,4.6,72.3,31.25,86.09,95,1291,96730
Medicare Healthcare - Gurdaspur,Gurdaspur,Mohali,Gastroenterology,4.6,72.3,43.75,86.09,105,1292,96867
Apex Medical Centre - Rupnagar,Rupnagar,Nawanshahr,General Medicine,4.6,72.3,37.5,86.09,95,1293,97004
